2020-11-03 13:30:14.920 [main] INFO  com.cardpay.parser.ParserApplication - Starting ParserApplication on MacBook-Pro-Olga.local with PID 3772 (/Users/olga/IdeaProjects/ordersParser/target/classes started by olga in /Users/olga/IdeaProjects/ordersParser)
2020-11-03 13:30:14.926 [main] INFO  com.cardpay.parser.ParserApplication - No active profile set, falling back to default profiles: default
2020-11-03 13:30:15.631 [main] INFO  com.cardpay.parser.ParserApplication - Started ParserApplication in 1.206 seconds (JVM running for 2.147)
2020-11-03 13:30:15.634 [main] INFO  com.cardpay.parser.ParserApplication - Call the first thread to parse file /Users/olga/IdeaProjects/ordersParser/src/main/resources/orders.json
2020-11-03 13:30:15.634 [main] INFO  com.cardpay.parser.ParserApplication - Call the second thread to parse file /Users/olga/IdeaProjects/ordersParser/src/main/resources/orders.json
2020-11-03 13:30:15.635 [main] INFO  com.cardpay.parser.ParserApplication - Waiting threads to finish work
2020-11-03 13:30:15.635 [Thread-4] INFO  com.cardpay.parser.service.FileProcessingServiceImpl - Start JSON file parsing /Users/olga/IdeaProjects/ordersParser/src/main/resources/orders.json
2020-11-03 13:30:15.635 [Thread-5] INFO  com.cardpay.parser.service.FileProcessingServiceImpl - Start CSV file parsing /Users/olga/IdeaProjects/ordersParser/src/main/resources/orders1.csv
2020-11-03 13:30:15.638 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.JsonParser - Start line parsing 1 form file orders.json: {"orderId": 1, "amount": 1000, "currency": "Peter", "comment": "comment"}
2020-11-03 13:30:15.734 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.LineByLineParser - Parsed line result: {"id":1,"amount":1000,"currency":"Peter","comment":"comment","filename":"orders.json","line":1,"result":"OK"}
2020-11-03 13:30:15.734 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.JsonParser - Start line parsing 2 form file orders.json: {"orderId": 2, "amount": 1000, "currency": "Peter", "comment": "comment"}
2020-11-03 13:30:15.734 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.LineByLineParser - Parsed line result: {"id":2,"amount":1000,"currency":"Peter","comment":"comment","filename":"orders.json","line":2,"result":"OK"}
2020-11-03 13:30:15.734 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.JsonParser - Start line parsing 3 form file orders.json: {"orderId": 3, "amount": 1000, "currency": "Peter", "comment": "comment"}
2020-11-03 13:30:15.735 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.LineByLineParser - Parsed line result: {"id":3,"amount":1000,"currency":"Peter","comment":"comment","filename":"orders.json","line":3,"result":"OK"}
2020-11-03 13:30:15.735 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.JsonParser - Start line parsing 4 form file orders.json: {"orderId": 4, "amount": 1000, "currency": "Peter", "comment": "comment"}
2020-11-03 13:30:15.735 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.LineByLineParser - Parsed line result: {"id":4,"amount":1000,"currency":"Peter","comment":"comment","filename":"orders.json","line":4,"result":"OK"}
2020-11-03 13:30:15.735 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.JsonParser - Start line parsing 5 form file orders.json: {"orderId": 5, "amount": 1000, "currency": "Peter", "comment": "comment"}
2020-11-03 13:30:15.735 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.LineByLineParser - Parsed line result: {"id":5,"amount":1000,"currency":"Peter","comment":"comment","filename":"orders.json","line":5,"result":"OK"}
2020-11-03 13:30:15.735 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.JsonParser - Start line parsing 6 form file orders.json: {"orderId": "blyad", "amount": 1000, "currency": "Peter", "comment": "comment"}
2020-11-03 13:30:15.737 [pool-2-thread-1] ERROR com.cardpay.parser.service.parser.JsonParser - Error while parsing a line 6 from file orders.json: Cannot deserialize value of type `java.lang.Long` from String "blyad": not a valid Long value
2020-11-03 13:30:15.738 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.LineByLineParser - Parsed line result: {"id":null,"amount":null,"currency":null,"comment":null,"filename":"orders.json","line":6,"result":"Cannot deserialize value of type `java.lang.Long` from String \"blyad\": not a valid Long value"}
2020-11-03 13:30:15.738 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.JsonParser - Start line parsing 7 form file orders.json: {"orderId": "7", "amount": "1000.0", "currency": "Peter", "comment": "comment"}
2020-11-03 13:30:15.738 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.LineByLineParser - Parsed line result: {"id":7,"amount":1000.0,"currency":"Peter","comment":"comment","filename":"orders.json","line":7,"result":"OK"}
2020-11-03 13:30:15.738 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.JsonParser - Start line parsing 8 form file orders.json: {"orderId": 8, "amount": 1000, "currency": "Peter", "comment": "comment"}
2020-11-03 13:30:15.739 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.LineByLineParser - Parsed line result: {"id":8,"amount":1000,"currency":"Peter","comment":"comment","filename":"orders.json","line":8,"result":"OK"}
2020-11-03 13:30:15.739 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.JsonParser - Start line parsing 9 form file orders.json: {"orderId": 9, "amount": 1000, "currency": "Peter", "comment": "comment"}
2020-11-03 13:30:15.739 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.LineByLineParser - Parsed line result: {"id":9,"amount":1000,"currency":"Peter","comment":"comment","filename":"orders.json","line":9,"result":"OK"}
2020-11-03 13:30:15.739 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.CsvParser - Start line parsing 1 form file orders1.csv: 1,100,USD,оплата заказа,
2020-11-03 13:30:15.739 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.LineByLineParser - Parsed line result: {"id":1,"amount":100,"currency":"USD","comment":"оплата заказа","filename":"orders1.csv","line":1,"result":"OK"}
2020-11-03 13:30:15.739 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.CsvParser - Start line parsing 2 form file orders1.csv: 2,500.3,EUR,ипотека,
2020-11-03 13:30:15.739 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.LineByLineParser - Parsed line result: {"id":2,"amount":500.3,"currency":"EUR","comment":"ипотека","filename":"orders1.csv","line":2,"result":"OK"}
2020-11-03 13:30:15.740 [pool-2-thread-1] INFO  com.cardpay.parser.service.parser.CsvParser - Start line parsing 3 form file orders1.csv: 3,1000,RUB,ещё какой-то комментарий,
